year,property_type_label,build_type,median_price,avg_price,total_sales,date
2008,Semi-Detached,New Build,179000.0,195300.5007047926,9932,2008-01-01
2008,Terraced,Existing,136300.0,171108.3990863136,184965,2008-01-01
2008,Terraced,New Build,172000.0,191295.06977246545,13888,2008-01-01
2009,Detached,Existing,249500.0,311646.9769136775,138307,2009-01-01
2009,Detached,New Build,242000.0,279430.5160380021,10631,2009-01-01
2009,Flat/Maisonette,Existing,151000.0,201267.20782782117,84238,2009-01-01
2009,Flat/Maisonette,New Build,145000.0,177117.26444545868,32865,2009-01-01
2009,Other,Existing,90000.0,134069.0,15,2009-01-01
2009,Other,New Build,93092.0,93092.0,16,2009-01-01
2009,Semi-Detached,Existing,158000.0,185520.68198045847,170304,2009-01-01
2009,Semi-Detached,New Build,169995.0,187129.3304767006,9335,2009-01-01
2009,Terraced,Existing,138000.0,172350.310176443,166286,2009-01-01
2009,Terraced,New Build,165000.0,182015.8201999412,13604,2009-01-01
2010,Detached,Existing,270000.0,343294.4050745186,148822,2010-01-01
2010,Detached,New Build,248000.0,289275.288558952,11450,2010-01-01
2010,Flat/Maisonette,Existing,165000.0,223869.32793477384,99224,2010-01-01
2010,Flat/Maisonette,New Build,160000.0,200991.4891219891,25740,2010-01-01
2010,Other,Existing,62375.0,132045.36666666667,30,2010-01-01
2010,Other,New Build,733357.5,733357.5,2,2010-01-01
2010,Semi-Detached,Existing,168000.0,203152.71631181723,177681,2010-01-01
2010,Semi-Detached,New Build,172950.0,192709.03486077616,9122,2010-01-01
2010,Terraced,Existing,145000.0,191579.04756517627,177672,2010-01-01
2010,Terraced,New Build,169950.0,187602.95286294792,13535,2010-01-01
2011,Detached,Existing,250000.0,335651.1849825854,144419,2011-01-01
2011,Detached,New Build,245000.0,288112.7071462677,12566,2011-01-01
2011,Flat/Maisonette,Existing,163475.0,227359.12570632953,98396,2011-01-01
2011,Flat/Maisonette,New Build,162500.0,205884.894699833,22754,2011-01-01
2011,Other,Existing,176400.0,366357.39215686277,51,2011-01-01
2011,Other,New Build,661500.0,661500.0,1,2011-01-01
2011,Semi-Detached,Existing,162000.0,198999.0384466975,178819,2011-01-01
2011,Semi-Detached,New Build,168995.0,193229.50367035333,10217,2011-01-01
2011,Terraced,Existing,141000.0,189698.38455021736,179420,2011-01-01
2011,Terraced,New Build,165950.0,189302.3882262677,14337,2011-01-01
2012,Detached,Existing,250000.0,331017.7733707583,147139,2012-01-01
2012,Detached,New Build,249995.0,299599.9532537199,15659,2012-01-01
2012,Flat/Maisonette,Existing,165000.0,234767.79141274787,100754,2012-01-01
2012,Flat/Maisonette,New Build,178000.0,227485.31698428033,22774,2012-01-01
2012,Other,Existing,165000.0,621103.512,125,2012-01-01
2012,Other,New Build,77875.0,77875.0,2,2012-01-01
2012,Semi-Detached,Existing,163500.0,201535.9996938522,173119,2012-01-01
2012,Semi-Detached,New Build,174950.0,200722.45479549287,11271,2012-01-01
2012,Terraced,Existing,146000.0,196844.78767319268,181734,2012-01-01
2012,Terraced,New Build,173800.0,204780.86800051137,15644,2012-01-01
2013,Detached,Existing,260000.0,337674.22629049566,175204,2013-01-01
2013,Detached,New Build,250000.0,307987.5909914321,20425,2013-01-01
2013,Flat/Maisonette,Existing,170000.0,248109.07467304502,129605,2013-01-01
2013,Flat/Maisonette,New Build,195000.0,262854.41561482893,25194,2013-01-01
2013,Other,Existing,285000.0,939985.5428194994,3795,2013-01-01
2013,Other,New Build,125515.0,286534.4396551724,116,2013-01-01
2013,Semi-Detached,Existing,165000.0,206857.03212341198,203870,2013-01-01
2013,Semi-Detached,New Build,179995.0,208843.3393875396,14205,2013-01-01
2013,Terraced,Existing,148995.0,202989.28172056732,219416,2013-01-01
2013,Terraced,New Build,179995.0,213756.95947309418,17840,2013-01-01
2014,Detached,Existing,276000.0,356094.7604001745,204011,2014-01-01
2014,Detached,New Build,269995.0,319928.30644038966,25868,2014-01-01
2014,Flat/Maisonette,Existing,173000.0,255637.0661934622,169201,2014-01-01
2014,Flat/Maisonette,New Build,213500.0,308795.4448618099,29018,2014-01-01
2014,Other,Existing,300000.0,922244.9084829285,11364,2014-01-01
2014,Other,New Build,225000.0,516705.9717741936,248,2014-01-01
2014,Semi-Detached,Existing,170000.0,216467.42290353967,235361,2014-01-01
2014,Semi-Detached,New Build,182950.0,212635.3350363306,17616,2014-01-01
2014,Terraced,Existing,153250.0,209931.84329262885,270568,2014-01-01
2014,Terraced,New Build,184995.0,225342.0374026251,18742,2014-01-01
2015,Detached,Existing,295000.0,371480.099933332,203996,2015-01-01
2015,Detached,New Build,289950.0,335934.0966036073,31769,2015-01-01
2015,Flat/Maisonette,Existing,180000.0,258660.54701973477,169599,2015-01-01
